batch,filename
batch_08,RL32692.txt
batch_08,RL32710.txt
batch_08,RL32481.txt
batch_08,RL32757.txt
batch_08,RL32674.txt
batch_08,RL31944.txt
batch_08,RL32970.txt
batch_08,RL31987.txt
batch_08,RL31476.txt
batch_09,RL34589.txt
batch_09,RL33505.txt
batch_09,RL33319.txt
batch_09,RL33587.txt
batch_09,RL34586.txt
batch_09,RL34198.txt
batch_09,RS20646.txt
batch_09,RL34506.txt
batch_09,RS20757.txt
batch_09,RS20028.txt
batch_09,RL33941.txt
batch_09,RL34554.txt
batch_09,RS20829.txt
batch_09,RL34475.txt
batch_09,RL33663.txt
batch_09,RL34229.txt
batch_09,RS20700.txt
batch_09,RS20886.txt
batch_09,RL34465.txt
batch_09,RL33890.txt
batch_09,RL34429.txt
batch_09,RS20976.txt
batch_09,RL33448.txt
batch_09,RS20021.txt
batch_09,RL33926.txt
batch_09,RL33908.txt
batch_09,RL33665.txt
batch_09,RS20930.txt
batch_09,RL34285.txt
batch_09,RL34560.txt
batch_09,RL33223.txt
batch_09,RS20033.txt
batch_09,RL33897.txt
batch_09,RL33756.txt
batch_09,RL33788.txt
batch_09,RL34736.txt
batch_09,RL34300.txt
batch_09,RL34643.txt
batch_09,RL33335.txt
batch_09,RL33499.txt
batch_09,RS20828.txt
batch_09,RL34701.txt
batch_09,RL33197.txt
batch_09,RL33849.txt
batch_09,RL34514.txt
batch_09,RL33710.txt
batch_09,RL33346.txt
batch_09,RL33802.txt
batch_09,RL34434.txt
batch_09,RL34656.txt
batch_10,RS21725.txt
batch_10,RS22424.txt
batch_10,RS21914.txt
batch_10,RS21367.txt
batch_10,RS22952.txt
batch_10,RS22815.txt
batch_10,RS21751.txt
batch_10,RS21230.txt
batch_10,RS21761.txt
batch_10,RS21887.txt
batch_10,RS22844.txt
batch_10,RS22946.txt
batch_10,ZZZ37B522F87B4EAB5E.txt
batch_10,RS22190.txt
batch_10,RS21752.txt
batch_10,RS22131.txt
batch_10,RS22337.txt
batch_10,RS22196.txt
batch_10,RS22316.txt
batch_10,RS22816.txt
batch_10,ZZZ176ADF236120636A.txt
batch_10,RS21522.txt
batch_10,TE10038.txt
batch_10,RS22986.txt
batch_10,RS21229.txt
batch_10,RS22712.txt
batch_10,RS22345.txt
batch_10,RS22147.txt
batch_10,RS21862.txt
batch_10,RS21816.txt
batch_10,RS21213.txt
